type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
simple,simple,264323,Giáo Trình Chuẩn YCT 1 (CD),103.500,138.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-1-cd.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_11579.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
simple,simple,356633,Giáo Trình Chuẩn HSK 4 - Tập 1,171.000,228.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/giao-trinh-chuan-hsk-4-1.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_230151.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
bundle,bundle,499167,Combo Sách Giáo Trình Chuẩn HSK 2 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn) (Tái Bản),283.710,386.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-hsk-2-sach-bai-hoc-va-bai-tap-bo-2-cuon-tai-ban.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786043355345-9786043121476_1.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",,,
simple,simple,414333,Giáo Trình Chuẩn YCT 1 - Sách Bài Tập,51.000,68.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-1-sach-bai-tap.html,https://cdn0.fahasa.com/media/catalog/product/2/0/2023_02_20_11_54_17_1-390x510.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
bundle,bundle,562318,Combo Sách Giáo Trình Chuẩn YCT 1 - Sách Bài Học + Sách Bài Tập (Bộ 2 Cuốn),151.410,206.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-yct-1-sach-bai-hoc-sach-bai-tap-bo-2-cuon.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786045877289-9786043772067.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",,,
simple,simple,425597,Destination B1 - Grammar And Vocabulary with Answer Key,118.300,169.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/destination-b1-grammar-and-vocabulary-with-answer-key.html,https://cdn0.fahasa.com/media/catalog/product/b/1/b1-1_1_5.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
simple,simple,310058,Giáo Trình Chuẩn HSK 4 - Tập 1 - Sách Bài Tập,111.000,148.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/giao-trinh-chuan-hsk-4-1-sach-bai-tap-kem-cd.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_196500.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
simple,simple,428114,Destination B2 - Grammar And Vocabulary with Answer Key,118.300,169.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/destination-b2-grammar-vocabulary-with-answer-key.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935246937136.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
simple,simple,571798,Giải Thích Ngữ Pháp Tiếng Anh (Tái Bản 2024),169.400,220.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giai-thich-ngu-phap-tieng-anh-tai-ban-2024.html,https://cdn0.fahasa.com/media/catalog/product/g/i/giaithichnguphapta-tb2024_bia1.jpg,23.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",,,
simple,simple,399267,Giáo Trình Chuẩn HSK 4 - Tập 2,178.500,238.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-4-tap-2.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043357158.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
simple,simple,182109,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề (Tái Bản),45.500,65.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:87%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.4</div></div>",0,https://www.fahasa.com/tu-hoc-2000-tu-vung-tieng-anh-theo-chu-de-182109.html,https://cdn0.fahasa.com/media/catalog/product/2/4/24df17f9bab58ba053c6c08c3af2f470.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
bundle,bundle,424210,Combo Sách Giáo Trình Chuẩn HSK 4 Tập 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),276.360,376.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-hsk-4-tap-1-sach-bai-hoc-va-bai-tap-bo-2-cuon.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786043127287-9786045897430.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",Tập 1,,
simple,simple,430959,Destination C1 And C2 - Grammar And Vocabulary with Answer Key,132.300,189.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/destination-c1-c2-grammar-vocabulary-with-answer-key.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935246937143.jpg,30.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",,,
simple,simple,407511,Giáo Trình Chuẩn HSK 5 - Tập 1,208.500,278.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-5-1-bai-hoc.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043358568_1.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
